"","title","code","audience_male","audience_female"
"1422","럭키","140695","51%","49%"
"1423","아메리칸 갱스터","62175",NA,NA
"1424","탐정 : 더 비기닝","124201","43%","57%"
"1425","터미네이터: 다크 페이트","167605","67%","33%"
"1426","왓 위민 원트","30343",NA,NA
"1427","문영","144578","21%","79%"
"1428","로렌스 애니웨이 ","95203","22%","78%"
"1429","블랙 가스펠","112666","25%","75%"
"1430","로봇","39769",NA,NA
"1431","레고 무비","99094","36%","64%"
"1432","명량","93756","53%","47%"
"1433","나는 부정한다","144984","36%","64%"
"1434","하트브레이커스","32026",NA,NA
"1435","플레이스 비욘드 더 파인즈","84349",NA,NA
"1436","정글북","122489","43%","57%"
"1437","바람의 전설","37355",NA,NA
"1438","바이스","168045","44%","56%"
"1439","에어로너츠","167658","51%","49%"
"1440","닥터 슬립","185912","55%","45%"
"1441","금발이 너무해","32900",NA,NA
"1442","매직 아워","49783",NA,NA
"1443","지. 아이. 제인","18563",NA,NA
"1444","레토","173840","36%","64%"
"1445","캐리","11757","100%",NA
"1446","밀정","137952","52%","48%"
"1447","네버다이 버터플라이","114139",NA,NA
"1448","노다메 칸타빌레 Vol.1","73074",NA,NA
"1449","아쿠아마린","44449",NA,NA
"1450","행복 목욕탕","154029","41%","59%"
"1451","오늘 밤, 로맨스 극장에서","170859","24%","76%"
"1452","시카리오: 데이 오브 솔다도","152680","70%","30%"
"1453","동경가족","99769","37%","63%"
"1454","맘마미아!","66381","100%",NA
"1455","머드","94503",NA,NA
"1456","허트 로커","68945",NA,NA
"1457","라스베가스에서만 생길 수 있는 일","67195",NA,NA
"1458","다이노 타임","78294","19%","81%"
"1459","스니치","101062",NA,NA
"1460","삼진그룹 영어토익반","189141","41%","59%"
"1461","명탐정 코난 : 화염의 해바라기","134136","23%","77%"
"1462","거북이 달린다","49483",NA,NA
"1463","밀크","46528",NA,NA
"1464","챔프","74736",NA,NA
"1465","7년-그들이 없는 언론","146526","42%","58%"
"1466","트리플 9","125423","71%","29%"
"1467","리틀 포레스트2: 겨울과 봄","137347","32%","68%"
"1468","성실한 나라의 앨리스","118323","54%","46%"
"1469","극장판 암살교실: 365일의 시간","160750","43%","57%"
"1470","존 말코비치 되기","27564","33%","67%"
"1471","500일의 썸머","53152","54%","46%"
"1472","블랙머니","189053","55%","45%"
"1473","스파이 브릿지","129333","59%","41%"
"1474","나이트 크롤러","117786","63%","37%"
"1475","위험한 패밀리","95808","43%","57%"
"1476","어둠 속의 댄서","29797","45%","55%"
"1477","앵그리 버드 2: 독수리 왕국의 침공","167599","27%","73%"
"1478","허니","36742",NA,NA
"1479","노스페이스","50721",NA,NA
"1480","3:10 투 유마","66102",NA,NA
"1481","베스트 오브 미","118384","42%","58%"
"1482","무명인","96910","60%","40%"
"1483","마션","129049","56%","44%"
"1484","하나와 앨리스 : 살인사건","134133","40%","60%"
"1485","언브로큰","104478","60%","40%"
"1486","극장판 파워레인저 트레인포스VS 다이노포스 THE MOVIE","135807","25%","75%"
"1487","라 비 앙 로즈","65923","100%",NA
"1488","레고 닌자고 무비","125439","27%","73%"
"1489","위대한 개츠비","88461",NA,NA
"1490","에놀라 홈즈","196389",NA,NA
"1491","샬롯의 거미줄","56225",NA,NA
"1492","필로미나의 기적","108734","24%","76%"
"1493","언터처블","10068",NA,NA
"1494","시애틀의 잠 못 이루는 밤","12918","33%","67%"
"1495","품행 제로","34190",NA,NA
"1496","너를 만난 여름","187787","33%","67%"
"1497","너의 결혼식","140652","46%","54%"
"1498","카페 벨에포크","185285","31%","69%"
"1499","호빗 : 뜻밖의 여정","68073",NA,NA
"1500","킬러의 보디가드","152625","51%","49%"
"1501","최강전사 미니특공대 : 영웅의 탄생","145376","28%","72%"
"1502","플로렌스","136845","29%","71%"
"1503","일주일간 친구","148996","50%","50%"
"1504","천재강아지 미스터 피바디","100015","30%","70%"
"1505","러스트 앤 본","94300",NA,NA
"1506","월레스와 그로밋 - 거대 토끼의 저주","44006",NA,NA
"1507","혜화,동","74453","25%","75%"
"1508","리틀 포레스트: 여름과 가을","129459","31%","69%"
"1509","스윙키즈","164101","33%","67%"
"1510","앨빈과 슈퍼밴드 3","84843",NA,NA
"1511","탐정: 리턴즈","159892","44%","56%"
"1512","패컬티","24522",NA,NA
